"nom","p_code","reg_code",
"1er Arrondissement","MDG11101001","MDG11",
"2e Arrondissement","MDG11101002","MDG11","2e ArrondissementMDG11"
"3e Arrondissement","MDG11101003","MDG11","3e ArrondissementMDG11"
"4e Arrondissement","MDG11101004","MDG11","4e ArrondissementMDG11"
"5e Arrondissement","MDG11101005","MDG11","5e ArrondissementMDG11"
"6e Arrondissement","MDG11101006","MDG11","6e ArrondissementMDG11"
"Alakamisy","MDG11107170","MDG11","AlakamisyMDG11"
"Alakamisy Fenoarivo","MDG11117312","MDG11","Alakamisy FenoarivoMDG11"
"Alarobia","MDG11106090","MDG11","AlarobiaMDG11"
"Alarobia Vatosola","MDG11115110","MDG11","Alarobia VatosolaMDG11"
"Alasora","MDG11102010","MDG11","AlasoraMDG11"
"Alatsinainy Ambazaha","MDG11117250","MDG11","Alatsinainy AmbazahaMDG11"
"Alatsinainy Bakaro","MDG11115071","MDG11","Alatsinainy BakaroMDG11"
"Ambalavao","MDG11117450","MDG11","AmbalavaoMDG11"
"Ambanitsena","MDG11106210","MDG11","AmbanitsenaMDG11"
"Ambato","MDG11103390","MDG11","AmbatoMDG11"
"Ambatofahavalo","MDG11117470","MDG11","AmbatofahavaloMDG11"
"Ambatolampy","MDG11103172","MDG11","AmbatolampyMDG11"
"Ambatolaona","MDG11106012","MDG11","AmbatolaonaMDG11"
"Ambatomanga","MDG11106070","MDG11","AmbatomangaMDG11"
"Ambatomanoina","MDG11107230","MDG11","AmbatomanoinaMDG11"
"Ambatomena","MDG11106251","MDG11","AmbatomenaMDG11"
"Ambavahaditokana","MDG11117130","MDG11","AmbavahaditokanaMDG11"
"Amboasary Nord","MDG11107270","MDG11","Amboasary NordMDG11"
"Ambohibao Sud","MDG11106252","MDG11","Ambohibao SudMDG11"
"Ambohibary","MDG11106050","MDG11","AmbohibaryMDG11"
"Ambohibary Vohilena","MDG11107310","MDG11","Ambohibary VohilenaMDG11"
"Ambohidrapeto","MDG11117050","MDG11","AmbohidrapetoMDG11"
"Ambohidratrimo","MDG11103010","MDG11","AmbohidratrimoMDG11"
"Ambohijanaka","MDG11117350","MDG11","AmbohijanakaMDG11"
"Ambohimalaza Miray","MDG11102230","MDG11","Ambohimalaza MirayMDG11"
"Ambohimanambola","MDG11102050","MDG11","AmbohimanambolaMDG11"
"Ambohimanarina Marovazaha","MDG11107130","MDG11","Ambohimanarina MarovazahaMDG11"
"Ambohimanga Rova","MDG11102319","MDG11","Ambohimanga RovaMDG11"
"Ambohimangakely","MDG11102099","MDG11","AmbohimangakelyMDG11"
"Ambohimanjaka","MDG11103270","MDG11","AmbohimanjakaMDG11"
"Ambohimiadana","MDG11115091","MDG11","AmbohimiadanaMDG11"
"Ambohimirary","MDG11107330","MDG11","AmbohimiraryMDG11"
"Ambohipihaonana","MDG11103370","MDG11","AmbohipihaonanaMDG11"
"Ambohitrandriamanitra","MDG11106230","MDG11","AmbohitrandriamanitraMDG11"
"Ambohitrimanjaka","MDG11103130","MDG11","AmbohitrimanjakaMDG11"
"Ambohitrolomahitsy","MDG11106371","MDG11","AmbohitrolomahitsyMDG11"
"Ambohitromby","MDG11104050","MDG11","AmbohitrombyMDG11"
"Ambohitrony","MDG11106290","MDG11","AmbohitronyMDG11"
"Ambohitseheno","MDG11106271","MDG11","AmbohitsehenoMDG11"
"Ambolotarakely","MDG11104170","MDG11","AmbolotarakelyMDG11"
"Ambongamarina","MDG11107099","MDG11","AmbongamarinaMDG11"
"Ampahitrosy","MDG11117370","MDG11","AmpahitrosyMDG11"
"Ampanefy","MDG11117270","MDG11","AmpanefyMDG11"
"Ampaneva","MDG11106372","MDG11","AmpanevaMDG11"
"Ampangabe","MDG11103190","MDG11","AmpangabeMDG11"
"Ampanotokana","MDG11103210","MDG11","AmpanotokanaMDG11"
"Amparatanjona","MDG11107250","MDG11","AmparatanjonaMDG11"
"Ampitatafika","MDG11117011","MDG11","AmpitatafikaMDG11"
"Analaroa","MDG11107190","MDG11","AnalaroaMDG11"
"Andoharanofotsy","MDG11117170","MDG11","AndoharanofotsyMDG11"
"Andohariana","MDG11115032","MDG11","AndoharianaMDG11"
"Andramasina","MDG11115010","MDG11","AndramasinaMDG11"
"Andranonahoatra","MDG11117030","MDG11","AndranonahoatraMDG11"
"Androhibe","MDG11117410","MDG11","AndrohibeMDG11"
"Androvakely","MDG11107290","MDG11","AndrovakelyMDG11"
"Anjanadoria","MDG11103410","MDG11","AnjanadoriaMDG11"
"Anjepy","MDG11106190","MDG11","AnjepyMDG11"
"Anjeva Gara","MDG11102390","MDG11","Anjeva GaraMDG11"
"Anjoma Betoho","MDG11106330","MDG11","Anjoma BetohoMDG11"
"Anjozorobe","MDG11107019","MDG11","AnjozorobeMDG11"
"Ankadikely Ilafy","MDG11102039","MDG11","Ankadikely IlafyMDG11"
"Ankadimanga","MDG11117290","MDG11","AnkadimangaMDG11"
"Ankadinandriana","MDG11102430","MDG11","AnkadinandrianaMDG11"
"Ankaraobato","MDG11117190","MDG11","AnkaraobatoMDG11"
"Ankazobe","MDG11104010","MDG11","AnkazobeMDG11"
"Ankazondandy","MDG11106351","MDG11","AnkazondandyMDG11"
"Anosiala","MDG11103030","MDG11","AnosialaMDG11"
"Anosibe Trimoloharano","MDG11115170","MDG11","Anosibe TrimoloharanoMDG11"
"Anosizato Andrefana","MDG11117012","MDG11","Anosizato AndrefanaMDG11"
"Antakavana","MDG11104190","MDG11","AntakavanaMDG11"
"Antanetibe","MDG11103350","MDG11","AntanetibeMDG11"
"Antanetibe","MDG11107211","MDG11","AntanetibeMDG11"
"Antanetikely","MDG11117230","MDG11","AntanetikelyMDG11"
"Antehiroka","MDG11103070","MDG11","AntehirokaMDG11"
"Antotohazo","MDG11104071","MDG11","AntotohazoMDG11"
"Antotohazo","MDG11115072","MDG11","AntotohazoMDG11"
"Antsahafilo","MDG11103252","MDG11","AntsahafiloMDG11"
"Antsahalalina","MDG11106272","MDG11","AntsahalalinaMDG11"
"Avaratsena","MDG11103430","MDG11","AvaratsenaMDG11"
"Belanitra","MDG11107212","MDG11","BelanitraMDG11"
"Bemasoandro","MDG11117070","MDG11","BemasoandroMDG11"
"Beronono","MDG11107370","MDG11","BerononoMDG11"
"Betatao","MDG11107150","MDG11","BetataoMDG11"
"Bongatsara","MDG11117390","MDG11","BongatsaraMDG11"
"Fenoarivo","MDG11117311","MDG11","FenoarivoMDG11"
"Fiadanana","MDG11103290","MDG11","FiadananaMDG11"
"Fiadanana","MDG11104130","MDG11","FiadananaMDG11"
"Fiaferana","MDG11102279","MDG11","FiaferanaMDG11"
"Fihaonana","MDG11104090","MDG11","FihaonanaMDG11"
"Fiombonana","MDG11117090","MDG11","FiombonanaMDG11"
"Fitsinjovana Bakaro","MDG11115130","MDG11","Fitsinjovana BakaroMDG11"
"Iarinarivo","MDG11103090","MDG11","IarinarivoMDG11"
"Itaosy","MDG11117110","MDG11","ItaosyMDG11"
"Ivato Aeroport","MDG11103112","MDG11","Ivato AeroportMDG11"
"Ivato Firaisana","MDG11103111","MDG11","Ivato FiraisanaMDG11"
"Kiangara","MDG11104210","MDG11","KiangaraMDG11"
"Mahabo","MDG11103310","MDG11","MahaboMDG11"
"Mahavelona","MDG11104110","MDG11","MahavelonaMDG11"
"Mahereza","MDG11103330","MDG11","MaherezaMDG11"
"Mahitsy","MDG11103150","MDG11","MahitsyMDG11"
"Manandriana","MDG11102210","MDG11","ManandrianaMDG11"
"Mananjara","MDG11103230","MDG11","MananjaraMDG11"
