"key","fr","en"
"home.title","Union européenne à Madagascar","Madagascar European Union"
"home.subtitle","Interventions financées par l'Union européenne","European Union Founding Interventions "
"home.headerTxt",,
"home.Txt","<html>Bienvenue sur la plateforme digitale des interventions financées par l’Union européenne à Madagascar.<br />
<br />
Cette plateforme a pour objectif de&nbsp;:<br />
&bull; <b>Informer le public</b> sur ce que finance l’UE à Madagascar (<i>interventions classées par thématique, géolocalisation et partenaire de mise en œuvre</i>)&nbsp;;<br />
&bull; <b>Valoriser les résultats</b> atteints grâce aux interventions de l’UE en faveur du développement du pays ;<br />
&bull; <b>Eclairer sur la stratégie</b> de développement de l’UE ainsi que la stratégie conjointe de l’UE et de ses Etats-membres présents à Madagascar (<i>Approche Team Europe</i>).<br />
<br />
Bonne découverte !<br /></html>","<html>Bienvenue sur la plateforme digitale des interventions financées par l’Union européenne à Madagascar.<br />
<br />
Cette plateforme a pour objectif de&nbsp;:<br />
&bull; <b>Informer le public</b> sur ce que finance l’UE à Madagascar (<i>interventions classées par thématique, géolocalisation et partenaire de mise en œuvre</i>)&nbsp;;<br />
&bull; <b>Valoriser les résultats</b> atteints grâce aux interventions de l’UE en faveur du développement du pays ;<br />
&bull; <b>Eclairer sur la stratégie</b> de développement de l’UE ainsi que la stratégie conjointe de l’UE et de ses Etats-membres présents à Madagascar (<i>Approche Team Europe</i>).<br />
<br />
Bonne découverte !<br /></html>"
"home.footerTxt","<html><i>Quelle différence entre cette plateforme et le <a href=""https://international-partnerships.ec.europa.eu/countries/madagascar_fr?etrans=fr"">site de la Commission européenne</a> ?</i><br />
Sur le site internet de la Direction générale des Partenariats internationaux (DG INTPA) de la Commission européenne, vous trouverez des informations générales. Cette plateforme-ci vous apportera des informations plus détaillées et plus concrètes, mettant en avant l’impact des interventions de l’UE sur le développement du pays. <br />
<br />
<i>Quelle différence entre cette plateforme et le <a href=""https://www.eeas.europa.eu/delegations/madagascar_fr?s=106"">site du Service Européen d’Action Extérieure</a> ?</i><br />
Le site internet du Service Européen d’Action Extérieure (ou EEAS en anglais) met en avant l’action diplomatique de la Délégation de l’UE à Madagascar en tant qu’acteur politique. Sur cette plateforme-ci, ce sont les actions de coopération au développement qui sont mises en valeur, faisant de l’UE – en synergie avec ses Etats-membres - un partenaire technique et financier de premier plan pour le développement du pays. C’est aussi sur le site du SEAE que vous trouverez des offres d’emploi pour rejoindre l’équipe de la Délégation de l’UE à Madagascar. <br />
<br />
<i>Quelle différence entre cette plateforme et la plateforme de connaissances <a href=""https://capacity4dev.europa.eu/_en"">Capacity4dev</a> ?</i><br />
Capacity4dev est la plateforme de partage des connaissances créée par la Direction générale des partenariats internationaux (DG INTPA) de la Commission européenne pour mettre en relation les professionnels du développement du monde entier, afin qu'ils puissent collaborer et partager les connaissances et les enseignements tirés de leur travail. N’hésitez pas à explorer la plateforme Capacity4dev et à vous inscrire aux différents groupes en fonction de vos centres d’intérêt. <br />
<br />
<i>Quelle différence entre cette plateforme et le système opérationnel <a href=""https://capacity4dev.europa.eu/groups/opsys_en"">OPSYS</a> ?</i><br />
Si vous êtes un parten aire de mise en œuvre des actions extérieures de l’UE, vous êtes maintenant familiarisés avec OPSYS (acronyme de « Operational System »), le système d'information utilisé par la Commission européenne pour les actions extérieures. Ce système marque un changement d’esprit dans la manière dont l'aide de l'UE fonctionne, avec un accent mis sur le suivi des interventions basé sur les résultats. A la différence de cette plateforme-ci, OPSYS n’est pas ouvert au grand public. <br />
<br />
<i>Et si j’ai envie de continuer à me former et m’informer ?</i><br />
<a href=""https://webgate.ec.europa.eu/intpa-academy/"">L’Académie des partenariats internationaux de l’UE</a> propose plus de 150 cours en ligne et 190 autres ressources d’apprentissage, y compris des vidéos, des webinaires, de la documentation et des podcasts. Cette académie virtuelle offre un accès gratuit à 26 thèmes, allant de l’agriculture à l’appui budgétaire en passant par le handicap, les situations de fragilité, la sécurité alimentaire, le commerce et l’égalité entre les femmes et les hommes.<br />
<br />
Vous avez une remarque, une suggestion concernant l’amélioration de cette plateforme ?<br />
N’hésitez pas à nous écrire à <href=""mailto:DELEGATION-MADAGASCAR@eeas.europa.eu"">DELEGATION-MADAGASCAR@eeas.europa.eu</a>.
<br />
<br /> </html>","<html><i>Quelle différence entre cette plateforme et le <a href=""https://international-partnerships.ec.europa.eu/countries/madagascar_fr?etrans=fr"">site de la Commission européenne</a> ?</i><br />
Sur le site internet de la Direction générale des Partenariats internationaux (DG INTPA) de la Commission européenne, vous trouverez des informations générales. Cette plateforme-ci vous apportera des informations plus détaillées et plus concrètes, mettant en avant l’impact des interventions de l’UE sur le développement du pays. <br />
<br />
<i>Quelle différence entre cette plateforme et le <a href=""https://www.eeas.europa.eu/delegations/madagascar_fr?s=106"">site du Service Européen d’Action Extérieure</a> ?</i><br />
Le site internet du Service Européen d’Action Extérieure (ou EEAS en anglais) met en avant l’action diplomatique de la Délégation de l’UE à Madagascar en tant qu’acteur politique. Sur cette plateforme-ci, ce sont les actions de coopération au développement qui sont mises en valeur, faisant de l’UE – en synergie avec ses Etats-membres - un partenaire technique et financier de premier plan pour le développement du pays. C’est aussi sur le site du SEAE que vous trouverez des offres d’emploi pour rejoindre l’équipe de la Délégation de l’UE à Madagascar. <br />
<br />
<i>Quelle différence entre cette plateforme et la plateforme de connaissances <a href=""https://capacity4dev.europa.eu/_en"">Capacity4dev</a> ?</i><br />
Capacity4dev est la plateforme de partage des connaissances créée par la Direction générale des partenariats internationaux (DG INTPA) de la Commission européenne pour mettre en relation les professionnels du développement du monde entier, afin qu'ils puissent collaborer et partager les connaissances et les enseignements tirés de leur travail. N’hésitez pas à explorer la plateforme Capacity4dev et à vous inscrire aux différents groupes en fonction de vos centres d’intérêt. <br />
<br />
<i>Quelle différence entre cette plateforme et le système opérationnel <a href=""https://capacity4dev.europa.eu/groups/opsys_en"">OPSYS</a> ?</i><br />
Si vous êtes un parten aire de mise en œuvre des actions extérieures de l’UE, vous êtes maintenant familiarisés avec OPSYS (acronyme de « Operational System »), le système d'information utilisé par la Commission européenne pour les actions extérieures. Ce système marque un changement d’esprit dans la manière dont l'aide de l'UE fonctionne, avec un accent mis sur le suivi des interventions basé sur les résultats. A la différence de cette plateforme-ci, OPSYS n’est pas ouvert au grand public. <br />
<br />
<i>Et si j’ai envie de continuer à me former et m’informer ?</i><br />
<a href=""https://webgate.ec.europa.eu/intpa-academy/"">L’Académie des partenariats internationaux de l’UE</a> propose plus de 150 cours en ligne et 190 autres ressources d’apprentissage, y compris des vidéos, des webinaires, de la documentation et des podcasts. Cette académie virtuelle offre un accès gratuit à 26 thèmes, allant de l’agriculture à l’appui budgétaire en passant par le handicap, les situations de fragilité, la sécurité alimentaire, le commerce et l’égalité entre les femmes et les hommes.<br />
<br />
Vous avez une remarque, une suggestion concernant l’amélioration de cette plateforme ?<br />
N’hésitez pas à nous écrire à <href=""mailto:DELEGATION-MADAGASCAR@eeas.europa.eu"">DELEGATION-MADAGASCAR@eeas.europa.eu</a>.
<br />
<br /> </html>"
"breadcrumb.home","Accueil","Home"
"breadcrumb.search","Recherche","Search"
"contact.title","Délégation de l'Union européenne à Madagascar","Magadascar European Union Delegation"
"contact.subtitle","Contacts & coordonnées","Contacts"
"contact.addresslabel","Adresse","Adress"
"contact.adress1","Tour Zital 9ème Etage","Tour Zital 9ème Etage"
"contact.adress2","Ankorondrano - BP 746","Ankorondrano - BP 746"
"contact.city","Antananarivo","Antananarivo"
"contact.country","Madagascar","Madagascar"
"contact.tellabel","Téléphone","Phones"
"contact.tel1label","Bureau","Office"
"contact.tel1","+261 20 22 242 16","+261 20 22 242 16"
"contact.tel2label","Sectrétariat","Secretary"
"contact.tel2","+261 20 22 242 16","+261 20 22 242 16"
"contact.futherslabel","Informations complémentaires","Futhers informations"
"contact.futherinfos","delegation-madagascar@eeas.europa.eu","delegation-madagascar@eeas.europa.eu"
"legalnotices.title","Mentions légales","Legal notices"
"legalnotices.subtitle","Informations légales de la plateforme","Plateform legal notices"
"legalnotices.responsiblePublicationLabel","Responsable de la publication","Publication responsive"
"legalnotices.responsiblePublication","Nom du responsable à venir","coming soon"
"legalnotices.websiteUrl","https://ue-madagascar.org/","https://ue-madagascar.org/"
"legalnotices.contentTxt","Informations légales à venir","Legal informations coming soon"
"tei.title","Team Europe Initiative (TEI)","Team Europe Initiative (TEI)"
"tei.subtitle","Initiatives de l’Équipe Europe",
"topics.title","Thématiques","Thematics"
"topics.subtitle","Les thématiques principales de l'action de l'UE à Madagascar","Main thematic of Madagascar European Union actions"
"topics.description","Texte descriptif de la page générale des thématiques.","Description of main thematic page"
"topics.list","Liste des thématiques","Thematics list"
"topic.projects_list_title","Liste des interventions","Interventions list"
"topic.projects_list_legend","Légende","legend"
"projects.title","Interventions","Interventions"
"project.instrument_financement","Instrument de financement","Founding instrument"
"project.num_contrat","N° de contrat","Contract number"
"project.annee_contrat","Année de contrat","Year of contract"
"project.titre_contrat","Titre du contrat","Contract title"
"project.responsable_due","Responsable DUE","UE responsive"
"project.objectives","Objectifs","Objectives"
"project.objectif_general","Objectif général","Global objective"
"project.objectifs_specifiques","Objectifs spécifiques","Specific objectives"
"project.resultats","Résultats","Results"
"project.website","Site internet","Website"
"project.social_medias","Réseaux sociaux","Social networks"
"project.facebook","Facebook","Facebook"
"project.youtube","Youtube","Youtube"
"project.instagram","Instagram","Instagram"
"project.twitter","Twitter","Twitter"
"project.linkedin","Linkedin","Linkedin"
"project.press","Presse","Press"
"project.fichiers","Documents","Files"
"project.type_contrat","Type de contrat","Contract type"
"project.nature_contrat","Nature du contrat","Contract nature"
"project.duration","Durée","Duration"
