"is","annee_contrat","num_contrat","titre_contrat","nom_usage","responsable_due","label_odd1","label_odd2","label_odd3","label_tei","label_global_gateway","objectif_general","objectifs_specifiques","resultats","main_media","youtube","website","facebook","instagram","twitter","linkedin","press","folder","fichiers","type_contrat","nature_contrat","mecanisme_financement","instrument_financement","date_fin","date_debut","organisme","membre_consortium_1","membre_consortium_2","membre_consortium_3","membre_consortium_4","membre_consortium_5","membre_consortium_6","membre_consortium_7","membre_consortium_8","budget_ue","budget_global","co_financement","cof_1_nom","cof_1_euros","cof_2_nom","cof_2_euros","cof_3_nom","cof_3_euros","cof_4_nom","cof_4_euros","cof_5_nom","cof_5_euros","autres_contributions","num_decision","dac_code","thematique","tei","secteur","region","commune","district","reference_opsys","public","relais_com_partenaire",
"EIDHR",2021,426875,"Appui à une information pour une Société inclusive et démocratique à Madagascar","SIFAKA","ANDRIAMAHOLY SOLO RAVAKASOA","ODD n°17 - Partenariats pour la réalisation des objectifs",,,"Investir dans la Jeunesse",,"Contribuer au renforcement du Pacte social entre les institutions publiques et des citoyen-ne-s engagés et mieux informés à Madagascar","1. Favoriser l’accès de la population malgache, surtout les jeunes et les plus marginalisés, à des informations journalistiques, contenus médiatiques et des espaces de dialogue qui facilitent la participation à la vie civique et citoyenne

2. Contribuer au développement d’une meilleure compréhension des enjeux et processus électoraux par les citoyens à travers une information adaptée et vérifiée lors des élections à Madagascar en 2023

3. Renforcer le paysage médiatique dans sa professionnalisation et sa durabilité, lui permettant de participer au processus de gouvernance démocratique","- Des programmes d’information répondant aux préoccupations majeures des jeunes malgaches et qui leur permettent de mieux participer à la vie publique sont produits 
- Les capacités journalistiques sur la couverture électorale des médias partenaires – dont Studio Sifaka – sont renforcées 
- De l'information sur les programmes des candidats et les préoccupations des citoyens est produite et diffusée",,"https://www.youtube.com/watch?v=rFECA6BhT1I","https://www.studiosifaka.org/","https://web.facebook.com/watch/?v=299622622331351",,,,"https://www.studiosifaka.org/articles/actualites/item/6681-liste-electorale-les-jeunes-urbains-moins-interesses-que-les-jeunes-ruraux.html
https://www.studiosifaka.org/magazines/question-a-ho-aho/item/6475-la-protection-de-l-enfance-est-une-responsabilite-du-citoyen.html","414626","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EhiNnSlbop9Iv_6RT4_E_UMBv2_zkm8cKTlyg19uP4QVjw?e=QkgzyU","Madagascar","Subvention","Subvention pour action",,2023-12-31,2022-01-01,"Fondation Hirondelle Media for peace & human dignity",,,,,,,,,350000," 	739,356",,"Fondation Hirondelle Media for peace & human dignity",389356,,,,,,,,,,41342,15153,"Société de la connaissance et de l’information",,"Médias et liberté de l’information","Alaotra-Mangoro,Amoron'i Mania,Analamanga,Analanjirofo,Androy,Ambatosoa,Vatovavy Fitovinany,Vakinankaratra,Sofia,Sava,Menabe,Itasy,Ihorombe,Haute Matsiatra,Diana,Bongolava,Boeny,Betsiboka,Atsinanana,Atsimo-Atsinanana,Atsimo-Andrefana,Anôsy,",,"Antananarivo I;Antananarivo II;Antananarivo III;Antananarivo IV;Antananarivo V;Antananarivo VI;Antananarivo Atsimondrano;Antananarivo Avaradrano;Ambohidratrimo;Ankazobe;Anjozorobe;Andramasina;Manjakandriana;Tsiroanomandidy;Fenoarivo Be;Miarinarivo;Arivonimamo;Soavinandriana;Antsirabe I;Antsirabe II;Ambatolampy;Antanifotsy;Betafo;Faratsiho;Mandoto;Toamasina I;Toamasina II;Antanambao Manampotsy;Brickaville;Mahanoro;Marolambo;Miandrivazo;Mahabo;Manja;Morondava;Amboasary;Taolagnaro;Tsihombe;Beloha;Ambovombe Androy;Belo surTsiribihina;Sakaraha;Morombe;Toliary II;Toliary I;Port Bergé;Mandritsara;Mampikony;Befandriana nord;Bealanana;Analalava;Antsohihy;Tsaratanàna;Maevatanàna;Mitsinjo;Marovoay;Ambato Boeny;Mahajanga II;Mahajanga I;Ivohibe;Iakora;Ihosy;Midongy atsimo;Befotaka;Vondrozo;Vangaindrano;Farafangana;Vohipeno;Nosy Varika;Ikongo;Mananjary;Manakara;Manandriana;Ambatofinandrahana;Fandriana;Ambositra;Ambohimahasoa;Ambalavao;Isandra;Lalangina;Vohibato;Fianarantsoa I;Andapa;Vohemar;Antalaha;Sambava;Ambanja;Antsiranana II;Antsiranana I;Soanierana Ivongo;Vatomandry;Ambatondrazaka;Amparafaravola;Moramanga;Andilamena;Fénérive Est;Mananara nord;Maroantsetra;Vavatenina;","PCC-426875","Oui","mailto:haja.rasamison@yahoo.fr",
"FED",2018,390501,"Appui à la gestion collaborative du parc national de Marolambo","RINDRA MAROLAMBO","ANDRIANIRINA NICOLE","ODD n°15 - Vie terrestre",,,,,"Maintien à long terme de la biodiversité et autres richesses naturelles dans les parcs nationaux et aires protégées de Madagascar","<html>Amélioration de l'opérationnalité<i> </i>du dispositif de cogestion collaborative du Parc National de Marolambo contribuant à la fois à l’amélioration du niveau de vie des communautés riveraines et à la conservation durable des ressources naturelles</html>","R1 : La perte annuelle de la surface forestière dans le Parc et dans les sites de transfert de gestion (TdG) est réduite 

R2 : L’opérationnalité  du système de cogestion des forêts dans le Parc et ses zones périphériques ainsi que la productivité des communautés vivant dans les périphéries du Parc sont améliorées

R3 : Les marchés prioritaires pouvant contribuer au financement du fonctionnement de l’Unité de Gestion du Parc  préidentifiés sont développés

R4 : Les moyens à disposition de l’Unité de Gestion du Parc et de ses partenaires de gestion sont renforcés
",,"https://www.youtube.com/watch?v=DMOd5jS17zU",,,,,,"https://www.booknews.today/projet-rindra-marolambo/","398749","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EomsiUYbWHRIk2d5RZfAuWMB9LZ4eA5fi5IW15uzMVsCzA?e=Urwx43","Madagascar","Subvention","Subvention pour action",,2024-07-09,2018-02-10,"Madagascar National Parks",,,,,,,,,1500000,1912669,,"Madagascar National Parks",412669,,,,,,,,,,38662,41030,"Environnement et ressources naturelles",,"Diversité biologique","Atsinanana,Vakinankaratra,Vatovavy,Amoron'i Mania,","Antsampandrano, Ambohitompoina, Belanitra, Ambohimilanja, Amboasary, Sahakevo, Anosiarivo, Ambodinonoka, Ambodivoangy, Ambatofisaka II, Ambalapaiso II, Miarinavaratra, Betsimisotra, Ankarinoro, Sandrandahy-Ambony, Vohidahy, Fasintsara, Ampasinambo, Maroharatra, Antanambao, Angodongodona","Antanifotsy;Ambositra;Fandriana;Nosy Varika;Ifanadiana;Marolambo;","PCC-390501","Oui","Mandimbijaona Andriamaharo, Razafimanantsoa GIZ MG <razafimanantsoa.mandimbijaona@giz.de>",
"FED",2022,433223,"Etude des travaux de curage des drains pour la réouverture du canal Andrangazaha, district Soanierana Ivongo – Région ANALANJIROFO",,"ANDRIANIRINA NICOLE","ODD n°2 - Faim « Zéro »","ODD n°11 - Villes et communautés durable",,,,"Etudes des travaux de curage des drains reliant des localités dans les communes d’Antanifotsy et de Manompana pour la réouverture du canal Andrangazaha, district Soanierana Ivongo",,,,,,,,,,,"403690","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EpmmUG1ca45DpsPVxzDLrXABkP22AE42vVEn8gfh_0YZjQ?e=sb2MsG","Madagascar","Mise en œuvre","Services",,2023-08-13,2022-06-14,"Gerco SARL",,,,,,,,,79979.3,79979.3,,,,,,,,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo,","Antanifotsy, Manompana",,"PCC-433223","Non","RAZAFINDRAHONA Lydia razafindrahonal@afd.fr",
"FED",2022,432532,"Etudes, aménagement et réhabiliation de 14 périmètres irrigués à l’Analanjirofo",,"ANDRIANIRINA NICOLE","ODD n°2 - Faim « Zéro »","ODD n°11 - Villes et communautés durable",,,,"Promouvoir un secteur agricole durable, inclusif et performant dans le Nord de Madagascar ","Contribuer à l’amélioration de la productivité, de la rentabilité et de la durabilité des chaînes de valeurs agricoles","-	Elaborer des dossiers d’Avant-Projet Sommaire et d’Avant-Projet Détaillé 
-	Elaborer des Dossiers d’Appel d’Offres des travaux 
-	Appuyer la Maîtrise d’ouvrage pour la passation des marchés de travaux (analyse et évaluation des offres, présentation de draft de rapports d’évaluation et de projet de contrat) 
",,"n/a","n/a","n/a","n/a","n/a","n/a","https://www.minae.gov.mg/wp-content/uploads/pdf/V0-2%20d3_summarycn_fr%20Lot%202%20Anj.pdf","403904","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EpKvCYUlMx5Jk4EancnyWucBBKcsEjzSC6zybMFl5ky-9Q?e=hn30HW","Madagascar","Mise en oeuvre","Services",,2023-08-19,2022-05-20,"BRL Madagascar SA",,,,,,,,,115691.34,115691.34,,,,,,,,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo,","Ampasina Maningory, Ampasimbe Manantsatrana, Soanierana Ivongo, Manompana","Soanierana Ivongo;","PCC-432532","Non","mailto:cecile.sicard@gescod.org",
"FED",2021,416993,"Devis-programme de croisière pour la région ANALANJIROFO","DP AFAFI Nord","ANDRIANIRINA NICOLE","ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°12 - Consommation et production responsables",,,"Promouvoir un secteur agricole durable, inclusif et performant dans le Nord de Madagascar","OS1: Contribuer à l’amélioration de la gouvernance du secteur pour permettre une croissance agricole inclusive et une utilisation durable des ressources naturelles

OS2: Contribuer à l’amélioration de la productivité, de la rentabilité et de la durabilité des chaînes de valeurs agricoles

OS3: Contribuer à l’amélioration de la sécurité alimentaire et nutritionnelle et de la résilience des ménages vulnérables","Pour l’OS1 :
R11 : les Collectivités Territoriales Décentralisées (CTD) sont renforcées pour mieux assumer leurs missions au bénéfice des populations cibles
R12 : les Services Techniques Déconcentrés (STD) sont renforcés afin d’assurer leurs missions au bénéfice des populations cibles
R13 : la structuration et l’opérationnalisation des organisations paysannes et professionnelles ainsi que des communautés de base sont développées
R14 : les préalables à la réalisation d’autres activités et les interventions y afférentes sont traitées
Pour l’OS2 :
R21 : une meilleure maîtrise de l’eau à usage agricole et pastoral est assurée
R22 : la productivité et la rentabilité des filières/chaînes de valeur sont améliorées
R23 : les préalables à la réalisation d’autres activités et les interventions y afférentes sont traitées
Pour l’OS3 :
R31 : la promotion des actions de lutte contre la malnutrition est renforcée
R32 : des revenus sont générés par un appui à la production et autres AGR pour les groupes plus vulnérables, notamment les femmes et les jeunes
R33 : l’accès à l’eau potable et à l’hygiène est amélioré
R34 : les préalables à la réalisation d’autres activités et les interventions y afférentes sont traitées
",,,,"https://www.facebook.com/BACE.Madagascar",,,,"https://midi-madagasikara.mg/2020/11/21/afafi-nord-pour-une-agriculture-durable-inclusive-et-performante-dans-24-communes/","414630","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/ElOU6KpCjvNCsuBJV6brbREBQGfC-ip4Qt1m4KmcQA_52A?e=7bxWLb","Madagascar","Mise en oeuvre","Pro forma registration (Program Estimates, Budget Support)",,2025-11-30,2021-03-22,"République de Madagascar",,,,,,,,,1434096.62,1434096.62,,,,,,,,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo","Ampasina Maningory, Ampasimbe Manantsatrana, Soanierana Ivongo, Antanifotsy, Manompana",,"PCC-416993","Non","M. Michel JAHIEL, Coordonnateur du Projet - ctht@moov.mg ",
"FED",2022,431841,"Appui inclusif et intégré aux associations des usagers de l'eau dans la région Analanjirofo","AINA RANO","ANDRIANIRINA NICOLE","ODD n°6 - Eau propre et assainissement","ODD n°11 - Villes et communautés durable",,,,"Contribuer à l'amélioration de la gouvernance de l'eau à usage agricole et potable dans la région Analanjirofo
","Contribuer à l’amélioration de la gouvernance du secteur pour permettre une croissance agricole inclusive et une utilisation durable des ressources naturelle. ","P0 : Une analyse de situation est menée afin d’avoir une idée claire sur la zone d’intervention et les différents acteurs de mise en œuvre de l’action 

P1 : Les Associations des Usagers de l'Eau prennent en charge la gestion participative et inclusive des infrastructures d’irrigation

P2 : La maîtrise d’ouvrage communale en matière d’eau potable est améliorée

P3 : Les capacités des AUE/CGPE en matière de gestion durable des points d’eau sont améliorées

P4 : Les ménages locaux ont un accès durable aux services d’eau, hygiène et assainissement
",,,,"https://www.facebook.com/meahmadagascar/posts/pfbid02fUcbz5FhJtcjU1hBrAqm2BcbUCB3xkz9gqfa33jfLMrYCtCN9BBfb7UQqUKyz8rKl",,,,"https://www.facebook.com/meahmadagascar/posts/pfbid02fUcbz5FhJtcjU1hBrAqm2BcbUCB3xkz9gqfa33jfLMrYCtCN9BBfb7UQqUKyz8rKl
","431841","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EuZ_TtaxRTRAsEF6pFSsnD0BVGatBp6w2tz135CeM_qMsQ?e=Nitldf","Madagascar","Subvention","Subvention pour action",,2025-06-28,2022-06-29,"SAF/FJKM - Sampanasa Fampandrosoana","AIM - Action Intercoopération Madagascar","Association Malagasy pour le Développement Economique Social et Environnemental - A.MA.D.E.S.E.",,,,,,,379882,379882,,,,,,,,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo","Soanierana Ivongo, Manompana, Antanifotsy, Ampasimbe Manatsatrana, Ampasina Maningory  ","Fénérive Est;Soanierana Ivongo;","PCC-431841","Oui",,
"FED",2022,431842,"Sahandriaka Voajary, Kendrena Haharitra : Bassins versants aménagés en vue d'une durabilité","SAVOKHA","ANDRIANIRINA NICOLE","ODD n°11 - Villes et communautés durable","ODD n°2 - Faim « Zéro »",,,,"Contribuer à l’aménagement et la protection concertés des bassins de production dans la Région d’Analanjirofo

Contribuer à l’amélioration de la gestion des ressources naturelles ainsi que la productivité, la rentabilité et la durabilité des chaines de valeurs agricoles à Analanjirofo","Aménager de façon inclusive, intégrée et durable des micro-bassins versants priorisés dans le cadre du programme AFAFI Nord, au niveau de 5 communes littorales de la région Analanjirofo","RAI : Les plans d’aménagement et de gestion des sous bassins versants en amont des PI sont élaborés de manière inclusive et intégrée, en cohérence avec les outils de planification communale

RA2 : L’amont des ouvrages MPI/PI, dans le cadre du programme AFAFI Nord, et éventuellement des versants et crêtes de collines pertinents sont protégés de manière inclusive et intégrée

RA3 : Les mangroves et les zones littorales en aval des sous bassins versants sont protégés de manière inclusive et intégrée

RA4 : Les collectivités, les communautés et les acteurs locaux sont sensibilisés et adoptent les bons réflexes environnementaux",,"https://www.youtube.com/watch?v=Bt4r9vNjmFA",,,,,,,"431844","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EjixNUXGaHtJiWHCO-JC1PsBUUbofFVjkltJmNbEqmJKZQ?e=NhN1tI","Madagascar","Subvention","Subvention pour action",,2025-07-10,2022-07-11,"AIM - Action Intercoopération Madagascar","SAF/FJKM - Sampanasa Fampandrosoana","Association Malagasy pour le Développement Economique Social et Environnemental - A.MA.D.E.S.E.",,,,,,,902500,950000,,"AIM - Action Intercoopération Madagascar",15833.33,"SAF/FJKM - Sampanasa Fampandrosoana",15833.33,"Association Malagasy pour le Développement Economique Social et Environnemental - A.MA.D.E.S.E.",15833.34,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo","Manonpana, Antanifotsy, Soanierana Ivongo, Ampasibe Manantsatrana, Ampasina Maningory","Soanierana Ivongo;","PCC-431842","Oui","mailto:jc.turpault@novo-comm.com",
"FED",2022,431843,"Appui au développement de l'économie rurale dans la région Analanjirofo","VAGNONÔ","ANDRIANIRINA NICOLE","ODD n°12 - Consommation et production responsables","ODD n°2 - Faim « Zéro »",,,,"Renforcer le rôle des organisations paysannes dans le développement durable de l’environnement agricole de la région Analanjirofo par l’appui à leur professionnalisation globale","Consolider les capacités organisationnelles, productives et commerciales des organisations paysannes et autres groupements cibles",,,,,,,,,,"432298","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EiJWVMCIkyBAs7BSnGsJ3FQB-sg2wTqTxAVWHfU6a1506A?e=66hb6X","Madagascar","Subvention","Subvention pour action",,2025-07-10,2022-07-11,"AVSF - Agronomes & Vétérinaires Sans Frontières","Association Malagasy pour le Développement Economique Social et Environnemental - A.MA.D.E.S.E.",,,,,,,,545865,574595,,"AFD - Agence Française de Développement",28730,,,,,,,,,,39387,43040,"Développement rural","Non","Développement rural","Analanjirofo","Manompana, Antanifotsy, Soanierana Ivongo, Ampasimbe Manantsatrana, Ampasina Maningory ","Soanierana Ivongo;Fénérive Est;","PCC-431843","Oui","M. Fanilo Herizo ANDRIAMALALA, Responsable du Programme AFAFI-Nord auprès du BACE - faniloherizo@gmail.com  ",
"FED",2021,423620,"Programme d'appui à l'atténuation des effets de la crise du COVID-19 à Madagascar ainsi que des crises résultant d'évènements climatiques et économiques",,"CHICHE MAILAN","ODD n°1 - Pas de pauvreté","ODD n°3 - Bonne santé et bien-être",,,,"L’atténuation des effets de la crise du COVID-19 à Madagascar ainsi
que des crises résultant d’évènements climatiques et économiques","1. Les infrastructures hospitalières et de santé de base ciblées sont réhabilitées de manière à les rendre plus résistantes aux chocs cycloniques et fonctionnelles, avec accès à l’eau et à l’électricité.
2. Les enfants, femmes enceintes et personnes vivant avec un handicap ciblés sont plus résilients aux chocs externes sanitaires, climatiques ou économiques grâce à leur intégration dans un programme prévisible et regulier de protection sociale","1. 40 centres de santé réhabilités, 5 hôpitaux de district réhabilités, 1 centre hospitalier universitaire réhabilité
2. 11 000 MGA par mois distribués à chaque enfant / femme enceinte / personne vivant avec un handicap dans les communes bénéficiaires, couvrant environ 70 000 enfants et femmes enceintes. 30 000 MGA par mois distribués pour les personnes (adultes et enfants) vivant avec un handicap. ± 4 000 personnes sont visées.
Au moins une session de formation et sensibilisation sur les pratiques familiales essentielles par mois sera organisée
dans chaque commune
Identification et suivi des cas d’abus, violences et exploitation des enfants et violence basée sur le le genre
95 % des certificats de naissance seront émis pour les nouveaux nés lors de la mise en oeuvre du programme dans
les communes d’intervention et 95 % de suivi prénatal pour les femmes enceintes",,,,,,,,,"405369","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/EmKCdw2E_ABMur2yFf9i2TABLicwcyMKN7Sc5QLZefRFmA?e=7WguW7","Madagascar","Mise en oeuvre","Pro forma registration (Program Estimates, Budget Support)",,2027-12-22,2021-03-03,"UNICEF - Fonds des Nations Unies pour l'enfance",,,,,,,,,21000000,21000000,,,,,,,,,,,,,42513,51010,"Réponse d'urgence",,"Aide relative au soutien budgétaire général","Madagascar",,,"PCC-423620","Non","Monsieur Bertrand MEINIER, Directeur du PAGE-2 - bertrand.meinier@giz.de; christian.burren@giz.de   ",
"NDICI",2022,437499,"Les malgaches engagés contre la corruption","MAIKA","CHICHE MAILAN","ODD n°17 - Partenariats pour la réalisation des objectifs","ODD n°16 - Paix, justice et institutions efficaces",,,,"Lutter contre la corruption dans les secteurs Santé, Education et Justice pour une meilleure réalisation des Droits humains à Madagascar","•	OS1. Contribuer à l’assainissement du système de santé malgache pour un accès aux soins transparent et équitable pour tous;

•	OS2. Contribuer à l’accès à la formation professionnelle et à l’enseignement technique en luttant contre la corruption et en promouvant l’intégrité dans les établissements concernés ; 
             
•	OS3. Contribuer à une meilleure réalisation des droits humains en luttant contre la corruption en milieu carcéral à Madagascar

•	OS4. Renforcer la pratique du journalisme d’investigation anti-corruption à travers le réseau MALINA
",,,,"https://www.transparency.mg/","https://m.facebook.com/transparencymadagascar/?mibextid=LQQJ4d",,"@TI_MG",,,"437499","../../../../../:f:/g/personal/y_karroum_arkoconsulting_org/ElNfVijdXbZKjbp13wQETxkBef2NzICz4NS3bLNXu945WQ?e=wNHV6r","Madagascar","Subvention","Subvention pour action",,2025-06-15,2023-12-16,"Transparency international Initiative Madagascar",,,,,,,,,299998.15,299998.15,,,,,,,,,,,,,"2021 / 043-110",15160,"Bonne gouvernance et redevabilité",,"Droits humains","Madagascar",,,,"Oui","M. Fanilo Herizo ANDRIAMALALA, Régisseur - faniloherizo@gmail.com ",
