"nom","dac_code","label_odd1","label_odd2","label_odd3","tei","global_gateway","description","videos_youtube","photo","css_class","css_color"
"Démocratie et Droits Humains",2021,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","L'UE soutient la démocratisation et les libertés fondamentales en encourageant une large participation à la prise de décision politique. Un accent particulier est mis sur la facilitation de l'implication des femmes et des jeunes dans la vie civique et politique.
La gouvernance démocratique concerne la façon dont les intérêts sont articulés, les ressources sont gérées et le pouvoir est exercé. Elle repose sur les règles, les processus et les comportements qui déterminent la manière dont l'État sert ses citoyens. Les principes de bonne gouvernance sont la participation, l'inclusion, la transparence et la responsabilité. Elle se concentre sur les ""porteurs de devoirs"" de l'approche fondée sur les droits. Le soutien à la gouvernance démocratique englobe également les acteurs non étatiques qui contribuent à un système démocratique fonctionnel. 
L’UE fournit également une assistance électorale, en tant que soutien technique ou matériel apporté au processus électoral. Notre soutien porte sur l'ensemble du cycle électoral et englobe tous les éléments qui contribuent à la tenue d'élections ouvertes à tous, crédibles et transparentes.","https://www.youtube.com/embed/usSXwIWUfT0",,"RStateReinforc","#BBA454"
"Bonne gouvernance et redevabilité",1819,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","L’action de l’UE vise à appuyer le pays à se doter d’institutions compétentes, efficaces et ouvertes, ayant une gestion responsable des affaires publiques et des ressources publiques. En effet, la faiblesse des systèmes de gestion des finances publiques compromet les efforts visant à concrétiser les objectifs de développement. La lutte contre la corruption est essentielle car elle a un impact sur l'efficacité et la légitimité de nos programmes, ainsi que sur la réduction de la pauvreté ; elle comporte également un aspect important en matière de Droits humains et d’Egalité femmes - hommes, car la corruption affecte principalement les groupes les plus marginalisés de la société. La décentralisation de la prestation de services permet aux citoyens de participer plus directement au système politique, et, partant, de demander plus efficacement des comptes aux dirigeants.","https://www.youtube.com/embed/3fXiWFlkN4Y",,"GoodGov","#0064b1"
"Développement humain intégré",1617,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","La santé, l’éducation et un niveau de vie décent sont essentiels au développement humain. L’UE collabore avec le gouvernement malgache pour soutenir les systèmes et les infrastructures de santé, les politiques d’éducation / formation / emploi et pour réduire les inégalités. La réduction des inégalités sociales et économiques n'est pas seulement essentielle pour garantir que personne ne soit laissé pour compte, elle est aussi une condition nécessaire à la réduction durable de la pauvreté et à la cohésion sociale.","https://www.youtube.com/embed/C8bZIe-yLjc",,"IntHumanDev","#811939"
"Appui au secteur privé et au commerce",1415,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","Contribuer à une croissance économique durable fait partie des objectifs de l’UE à Madagascar. En tant que premier partenaire commercial de Madagascar, l’UE agit pour renforcer la participation du secteur privé aux domaines clé de développement du pays. Les programmes liés à cette thématique appuient le secteur privé en travaillant sur l’amélioration du climat des investissements et des affaires, l’incubation d’entreprises et le développement des exportations, tout en renforçant le dialogue public-privé. Ces actions sont renforcées par l’accord de partenariat économique entre l’Union européenne et cinq pays d’Afrique orientale et australe dont Madagascar.","https://www.youtube.com/embed/apr3ODVEwNo",,"EcoPrivateSectors","#876744"
"Infrastructures et énergie",1415,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","Les infrastructures sont un moteur essentiel de la prospérité économique, de la croissance inclusive et de la création d'emplois. Il est donc fondamental de fournir des infrastructures de qualité qui soient économiquement, écologiquement et socialement durables dans tous les domaines de l'énergie, des transports, de l'eau et de l'assainissement.
L'énergie durable est l'une de nos principales priorités. Grâce au dialogue politique et aux investissements dans les énergies renouvelables, nous aidons le pays partenaire à passer à des systèmes énergétiques modernes, sûrs et durables, afin d'améliorer l'accès aux services énergétiques et de stimuler l’économie, tout en contribuant à la lutte mondiale contre le changement climatique.","https://www.youtube.com/embed/apr3ODVEwNo",,"Infrastructures","#6c7a7f"
"Développement rural",1213,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","L'agriculture à Madagascar est confrontée à d'importants défis : le changement climatique, la dégradation de l'environnement, la réduction de la biodiversité et une croissance démographique rapide exercent une pression croissante sur les ressources agricoles du pays. Si rien n'est fait pour freiner cette tendance, le fossé entre l'offre et la demande de denrées alimentaires ne pourra que se creuser. L'agriculture doit donc devenir durable et résistante, afin de produire davantage de nourriture de meilleure qualité à des prix abordables, tout en protégeant l'environnement. Elle doit également être plus rentable afin de créer des opportunités de croissance et de réduction de la pauvreté dans nos pays partenaires.
En stimulant les investissements et en soutenant l'innovation dans ce secteur, nous favorisons une croissance inclusive et aidons le pays à mieux nourrir sa population, tout en protégeant les ressources naturelles.","https://www.youtube.com/embed/LG_3h_ZEXrs",,"DevRural","#778d39"
"Environnement et ressources naturelles",1213,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","Le maintien de la biodiversité et des écosystèmes est essentiel pour réduire la pauvreté et les risques de catastrophes naturelles. Nous agissons donc à tous les niveaux pour contribuer à lutter contre les pratiques non durables qui menacent la biodiversité et les écosystèmes. L’UE est proactive dans l’amélioration de la capacité à gérer l'adaptation au changement climatique et les risques de catastrophe, afin de réduire le fardeau économique, social et humain payé par le pays, en particulier dans le Grand Sud.","https://www.youtube.com/embed/LG_3h_ZEXrs",,"NatureRss","#989900"
"Egalité Femmes – Hommes",1011,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","L’égalité entre les femmes et les hommes est l’une des valeurs fondamentales de l’UE. Les femmes et les filles sont des acteurs clés du développement et du changement. Il est essentiel de parvenir à l’égalité entre les femmes et les hommes et d’autonomiser les femmes et les filles pour construire des sociétés équitables, inclusives, prospères et pacifiques. 
Dans le cadre du Plan d’action Genre, nos deux principaux domaines d’action sont de garantir une existence libre de toute violence à caractère sexiste et de travailler pour l’Égalité de droits et d’opportunités entre les femmes et les hommes ainsi que l’autonomisation des femmes et des filles.","https://www.youtube.com/embed/-us4rCCmB6U",,"GenderEql","#e6007e"
"Appui à la Société civile et à la Jeunesse",789,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","Appui à la société civile et à la jeunesse
Depuis 2013, dans le cadre de la Feuille de route Société civile, l’Union européenne développe une approche long terme d'appui stratégique à la Société civile malgache afin que celle-ci puisse jouer son rôle d’acteur de gouvernance. La Société civile malgache fait preuve d’engagement et de résilience forts quand elle s’implique dans des domaines comme la lutte contre la corruption, la demande de transparence et de redevabilité ainsi que la protection de l’environnement et la sauvegarde des ressources naturelles. 
Comme souligné par le Plan d’action Jeunesse, les jeunes sont des vecteurs essentiels de changement positif et des partenaires importants pour faire progresser le développement durable et inclusif. La quasi-totalité des décisions politiques ont une incidence sur les jeunes, et la participation des jeunes est au cœur des valeurs et des politiques de l’UE.","https://www.youtube.com/embed/SJjjjFNMQqI",,"CivilSctyYouth","#814a7f"
"Société de la connaissance et de l’information",456,"ODD n°1 - Pas de pauvreté","ODD n°2 - Faim « Zéro »","ODD n°3 - Bonne santé et bien-être","TEI n°1","Secteur numérique","Les médias indépendants et l'information ouverte remplissent une fonction cruciale de surveillance, en fournissant aux citoyens les informations dont ils ont besoin pour responsabiliser les secteurs public et privé. Toute communauté a besoin de médias indépendants pour fournir des informations fiables, afin que les citoyens puissent prendre des décisions éclairées concernant leur vie.
L’Enseignement supérieur, la Recherche et l’innovation sont également un moteur du changement, susceptibles de déclencher le progrès économique et social.","https://www.youtube.com/embed/oRO-Iey1XIs",,"KnowledgeInfoScty","#bc5217"
